iter	Passed	Remaining
0	0	375
1	1	370
2	2	344
3	2	349
4	3	346
5	4	337
6	4	330
7	5	325
8	5	325
9	6	322
10	7	323
11	8	342
12	9	341
13	9	337
14	10	336
15	11	334
16	11	333
17	12	331
18	12	327
19	13	324
20	14	323
21	14	324
22	15	323
23	16	321
24	16	319
25	17	317
26	18	315
27	18	313
28	19	312
29	19	310
30	20	309
31	21	307
32	21	306
33	22	305
34	22	304
35	23	302
36	24	301
37	24	300
38	25	298
39	25	297
40	26	296
41	27	295
42	28	298
43	28	298
44	29	297
45	30	296
46	30	295
47	31	296
48	32	295
49	32	294
50	33	294
51	34	293
52	34	292
53	35	291
54	36	291
55	36	290
56	37	290
57	38	290
58	38	289
59	39	287
60	39	286
61	40	288
62	41	287
63	42	288
64	43	288
65	43	288
66	44	287
67	45	287
68	45	287
69	47	289
70	47	288
71	48	288
72	49	287
73	50	288
74	51	289
75	51	288
76	52	288
77	53	288
78	54	287
79	54	286
80	55	285
81	55	284
82	56	284
83	57	283
84	57	282
85	58	281
86	59	281
87	59	280
88	60	279
89	61	278
90	61	277
91	62	275
92	62	274
93	63	274
94	64	273
95	64	272
96	65	271
97	66	270
98	66	269
99	67	268
100	67	267
101	68	266
102	68	265
103	69	264
104	69	263
105	70	262
106	71	261
107	71	260
108	72	259
109	73	258
110	73	257
111	74	256
112	74	255
113	75	254
114	75	253
115	76	252
116	76	251
117	77	250
118	78	249
119	78	248
120	79	247
121	79	247
122	80	246
123	80	245
124	81	244
125	82	243
126	82	243
127	83	242
128	83	241
129	84	240
130	85	240
131	85	239
132	86	238
133	87	237
134	87	237
135	88	236
136	89	236
137	90	236
138	90	235
139	91	235
140	92	234
141	92	234
142	93	233
143	94	232
144	94	231
145	95	230
146	96	230
147	96	230
148	97	229
149	98	228
150	98	228
151	99	227
152	100	226
153	100	226
154	101	225
155	101	224
156	102	224
157	103	223
158	103	222
159	104	221
160	104	220
161	105	219
162	106	219
163	106	218
164	107	218
165	108	217
166	108	216
167	109	215
168	109	214
169	110	214
170	110	213
171	111	212
172	112	212
173	112	211
174	113	210
175	113	209
176	114	209
177	115	208
